age,gender,education level,job title,years of experience,country,race,senior,salary
36.0,Male,elementary,Data Analyst,7.0,Australia,Asian,0,60000.0
43.0,Female,high school,Product Marketing Manager,14.0,Australia,White,1,120000.0
28.0,Male,elementary,Business Analyst,2.0,USA,White,0,40000.0
41.0,Female,high school,Marketing Manager,13.0,Australia,Australian,1,110000.0
33.0,Male,elementary,Software Developer,5.0,USA,Hispanic,0,50000.0
47.0,Male,elementary,Sales Manager,20.0,China,White,1,135000.0
25.0,Female,high school,Marketing Specialist,1.5,Australia,Asian,0,40000.0
34.0,Male,elementary,Business Analyst,8.0,Australia,Asian,1,90000.0
42.0,Female,university,Data Scientist,16.0,China,Chinese,1,150000.0
31.0,Male,elementary,Project Manager,4.0,UK,Welsh,0,60000.0
38.0,Female,elementary,Accountant,10.0,USA,African American,1,80000.0
45.0,Male,high school,Director of Sales,19.0,Canada,Black,0,175000.0
29.0,Female,elementary,Recruiter,3.0,Australia,Australian,0,45000.0
36.0,Male,high school,Business Development Manager,11.0,Canada,Black,1,120000.0
43.0,Female,university,Product Designer,18.0,Australia,Asian,1,140000.0
26.0,Male,elementary,Customer Support Specialist,2.0,USA,Asian,0,35000.0
37.0,Female,high school,Marketing Analyst,9.0,Canada,White,1,95000.0
,Male,elementary,IT Support Specialist,14.0,USA,African American,1,110000.0
32.0,Female,elementary,Financial Analyst,5.0,USA,Asian,0,50000.0
33.0,Male,high school,Operations Manager,7.0,China,Korean,1,115000.0
51.0,Female,university,Director of Human Resources,23.0,China,Chinese,0,185000.0
28.0,Male,elementary,Software Engineer,2.0,Australia,White,0,40000.0
39.0,Female,elementary,Sales Representative,12.0,USA,Asian,1,90000.0
48.0,Male,high school,Director of Product Management,21.0,USA,Asian,0,175000.0
30.0,Female,elementary,Copywriter,3.0,UK,Mixed,0,45000.0
35.0,Male,elementary,Marketing Coordinator,7.0,China,White,1,80000.0
41.0,Female,high school,Human Resources Manager,13.0,China,Korean,1,120000.0
27.0,Male,elementary,Business Development Associate,1.5,China,White,0,35000.0
40.0,Female,elementary,Account Manager,14.0,Australia,Australian,1,110000.0
46.0,Male,university,Researcher,18.0,Canada,Black,1,150000.0
31.0,Female,elementary,HR Coordinator,4.0,China,Korean,0,50000.0
34.0,Male,high school,Software Engineer,9.0,China,Korean,1,105000.0
50.0,Female,high school,Director of Finance,20.0,Australia,Australian,0,180000.0
29.0,Male,elementary,Marketing Coordinator,2.0,Canada,Asian,0,40000.0
43.0,Male,elementary,Project Manager,16.0,UK,White,1,140000.0
26.0,Female,high school,Data Scientist,1.5,Canada,Asian,0,45000.0
35.0,Male,elementary,Operations Analyst,7.0,China,White,1,85000.0
42.0,Female,university,Marketing Manager,18.0,UK,Asian,1,140000.0
31.0,Male,elementary,Accountant,4.0,UK,Welsh,0,50000.0
38.0,Female,elementary,Human Resources Coordinator,10.0,UK,Asian,1,80000.0
,Male,high school,Director of Operations,20.0,USA,Asian,0,170000.0
29.0,Female,elementary,Sales Representative,2.0,UK,Welsh,0,40000.0
37.0,Male,high school,Business Analyst,9.0,China,Chinese,1,105000.0
44.0,Female,,UX Designer,15.0,USA,Hispanic,1,145000.0
27.0,Male,elementary,Product Manager,2.0,USA,Hispanic,0,40000.0
36.0,Female,elementary,Marketing Specialist,8.0,USA,African American,1,85000.0
43.0,Male,elementary,IT Project Manager,14.0,China,Chinese,1,130000.0
33.0,Female,high school,Financial Analyst,6.0,Canada,White,1,95000.0
34.0,Male,elementary,Quality Assurance Analyst,9.0,UK,Mixed,1,100000.0
50.0,Female,university,Director of Sales and Marketing,22.0,China,Korean,0,180000.0
,Male,elementary,Operations Analyst,1.5,UK,Welsh,0,35000.0
39.0,Female,elementary,Account Executive,12.0,USA,African American,1,95000.0
47.0,Male,high school,Director of Business Development,19.0,Australia,Asian,0,170000.0
30.0,Female,elementary,Social Media Manager,3.0,Australia,Australian,0,45000.0
34.0,Male,elementary,Product Manager,7.0,China,Chinese,1,95000.0
40.0,Female,high school,Human Resources Specialist,13.0,UK,Welsh,1,120000.0
28.0,Male,elementary,Business Analyst,2.0,USA,African American,0,40000.0
41.0,Female,elementary,Marketing Coordinator,11.0,Canada,Asian,1,90000.0
45.0,Male,university,Data Analyst,17.0,UK,Asian,1,155000.0
32.0,Female,elementary,Account Manager,5.0,Australia,Asian,0,55000.0
35.0,Male,,Software Developer,9.0,Canada,Asian,1,110000.0
,Female,high school,Director of Human Capital,21.0,UK,Mixed,0,180000.0
30.0,Male,elementary,Advertising Coordinator,3.0,UK,White,0,45000.0
44.0,Male,elementary,Sales Manager,16.0,USA,Asian,1,130000.0
27.0,Female,high school,UX Designer,1.5,USA,Hispanic,0,45000.0
36.0,Male,elementary,Accountant,7.0,Canada,White,1,90000.0
41.0,Female,university,Marketing Director,17.0,UK,Mixed,1,160000.0
,Male,elementary,HR Generalist,4.0,China,Chinese,0,50000.0
39.0,Female,elementary,Operations Manager,10.0,Australia,Asian,1,120000.0
47.0,Male,high school,Director of Finance,20.0,Australia,Australian,0,170000.0
30.0,Female,elementary,Marketing Coordinator,2.0,China,Korean,0,40000.0
38.0,Male,high school,IT Consultant,9.0,China,White,1,110000.0
45.0,Female,university,Product Designer,15.0,China,Chinese,1,150000.0
28.0,Male,elementary,Business Development Associate,2.0,USA,Asian,0,40000.0
35.0,Female,elementary,Marketing Analyst,8.0,USA,White,1,85000.0
44.0,Male,elementary,Software Engineer,14.0,China,Chinese,1,130000.0
34.0,Female,,Financial Advisor,6.0,UK,Welsh,1,100000.0
35.0,Male,elementary,Project Coordinator,9.0,Canada,White,1,95000.0
50.0,Female,university,Director of Operations,22.0,Australia,Australian,0,180000.0
29.0,Male,elementary,Business Operations Analyst,1.5,UK,Asian,0,35000.0
40.0,Female,elementary,Sales Representative,12.0,China,Chinese,1,100000.0
48.0,Male,high school,Director of Marketing,19.0,USA,Hispanic,0,170000.0
31.0,Female,elementary,Social Media Specialist,3.0,UK,Welsh,0,45000.0
33.0,Male,elementary,Product Development Manager,7.0,USA,Hispanic,1,100000.0
,Female,high school,Human Resources Manager,13.0,China,White,1,140000.0
28.0,Male,elementary,Financial Analyst,2.0,Australia,Australian,0,40000.0
40.0,Female,elementary,Marketing Manager,11.0,UK,White,1,105000.0
,Male,university,Data Scientist,18.0,Canada,White,1,160000.0
33.0,Female,elementary,Operations Manager,5.0,Australia,Asian,0,70000.0
37.0,Male,high school,Software Architect,9.0,Australia,Australian,1,120000.0
51.0,Female,high school,Director of Human Resources,21.0,USA,Hispanic,0,190000.0
30.0,Male,elementary,Marketing Specialist,3.0,Canada,Black,0,45000.0
43.0,Male,elementary,Project Manager,15.0,Canada,Asian,1,120000.0
27.0,Female,high school,Research Scientist,1.5,China,White,0,50000.0
35.0,Male,elementary,Operations Analyst,8.0,Canada,White,1,85000.0
42.0,Female,university,Marketing Manager,13.0,Canada,White,1,140000.0
32.0,Male,elementary,Sales Representative,3.0,Australia,White,0,45000.0
37.0,Female,elementary,Financial Analyst,9.0,UK,Welsh,1,100000.0
45.0,Male,,Software Developer,16.0,Australia,Asian,1,140000.0
33.0,Female,elementary,Operations Analyst,5.0,Canada,Asian,0,70000.0
39.0,Male,elementary,Marketing Specialist,10.0,Canada,Black,1,120000.0
44.0,Female,university,HR Manager,18.0,Canada,White,1,160000.0
29.0,Male,elementary,Business Analyst,1.5,Australia,Australian,0,40000.0
38.0,Female,elementary,Product Manager,10.0,China,Korean,1,120000.0
46.0,Male,university,Data Analyst,19.0,UK,Asian,1,150000.0
34.0,Female,,Marketing Analyst,6.0,USA,Asian,0,70000.0
36.0,Male,elementary,Operations Manager,8.0,USA,White,1,95000.0
49.0,Female,high school,Director of Marketing,21.0,Canada,White,0,180000.0
31.0,Male,elementary,Financial Analyst,3.0,Canada,Black,0,50000.0
41.0,Female,elementary,Project Coordinator,11.0,USA,African American,1,95000.0
47.0,Male,high school,Director of Operations,20.0,Canada,White,0,170000.0
30.0,Female,elementary,Marketing Coordinator,2.0,USA,White,0,40000.0
38.0,Male,high school,IT Consultant,9.0,Australia,Australian,1,110000.0
45.0,Female,university,Product Designer,15.0,China,Korean,1,150000.0
28.0,Male,,Business Development Associate,2.0,USA,Asian,0,40000.0
35.0,Female,elementary,Marketing Analyst,8.0,Canada,White,1,85000.0
,Male,elementary,Software Engineer,14.0,Australia,Australian,1,130000.0
34.0,Female,high school,Financial Advisor,6.0,Australia,Australian,1,100000.0
35.0,Male,elementary,Project Coordinator,9.0,UK,Asian,1,95000.0
50.0,Female,university,Director of Operations,22.0,Australia,White,0,180000.0
29.0,Male,elementary,Business Operations Analyst,1.5,USA,Hispanic,0,350.0
,Female,elementary,Financial Manager,10.0,USA,African American,1,120000.0
,Male,university,Data Scientist,18.0,China,Chinese,1,160000.0
31.0,Female,elementary,Marketing Coordinator,3.0,Australia,White,0,50000.0
42.0,Male,elementary,Operations Manager,12.0,Canada,Black,1,110000.0
29.0,Female,elementary,Sales Representative,1.5,USA,African American,0,40000.0
36.0,Male,elementary,Marketing Specialist,8.0,UK,White,1,95000.0
44.0,Female,high school,HR Specialist,15.0,China,Chinese,1,140000.0
33.0,Male,elementary,Operations Manager,4.0,China,Korean,0,60000.0
39.0,Female,elementary,Marketing Coordinator,9.0,China,White,1,110000.0
45.0,Male,university,Data Engineer,16.0,Australia,Asian,1,150000.0
32.0,Female,elementary,Marketing Manager,4.0,UK,Welsh,0,60000.0
37.0,Male,elementary,Financial Analyst,8.0,Australia,Australian,1,90000.0
,Female,high school,Director of Marketing,20.0,UK,Mixed,0,180000.0
30.0,Male,elementary,Business Analyst,2.0,Australia,Australian,0,40000.0
38.0,Female,elementary,Project Manager,9.0,UK,Asian,1,120000.0
46.0,Male,university,Data Analyst,17.0,UK,Asian,1,160000.0
34.0,Female,elementary,Financial Analyst,5.0,UK,Mixed,0,70000.0
36.0,Male,elementary,Product Manager,8.0,Australia,Asian,1,95000.0
49.0,Female,high school,Director of Operations,21.0,UK,Mixed,0,180000.0
31.0,Male,elementary,Operations Analyst,3.0,USA,Hispanic,0,50000.0
41.0,Female,elementary,Project Coordinator,11.0,Canada,Black,1,95000.0
47.0,Male,high school,Director of Marketing,19.0,Canada,White,0,170000.0
29.0,Female,elementary,Business Development Associate,1.5,Australia,White,0,35000.0
35.0,Male,elementary,Financial Manager,9.0,Canada,White,1,100000.0
44.0,Female,university,Product Designer,15.0,China,White,1,150000.0
33.0,Male,elementary,Business Analyst,4.0,Canada,Black,0,60000.0
35.0,Female,elementary,Marketing Analyst,8.0,China,Chinese,1,85000.0
44.0,Male,elementary,Software Engineer,13.0,Canada,White,1,130000.0
32.0,Male,elementary,Product Manager,4.0,China,Chinese,0,65000.0
38.0,Female,elementary,Business Analyst,10.0,Australia,Asian,1,110000.0
49.0,,university,Director of Operations,21.0,USA,Asian,0,180000.0
,Female,elementary,Marketing Specialist,2.0,Australia,Australian,0,40000.0
35.0,Male,elementary,Business Development Manager,7.0,USA,Hispanic,1,90000.0
45.0,Female,,HR Manager,14.0,UK,Welsh,1,140000.0
33.0,Male,elementary,Financial Analyst,4.0,China,Korean,0,60000.0
40.0,Female,elementary,Marketing Manager,12.0,Australia,Asian,1,130000.0
44.0,Male,university,Data Scientist,16.0,Australia,Asian,1,160000.0
30.0,Female,elementary,Operations Coordinator,2.0,Australia,White,0,40000.0
37.0,Male,elementary,Marketing Analyst,9.0,UK,Mixed,1,100000.0
48.0,Female,high school,Director of HR,20.0,USA,Hispanic,0,180000.0
,Male,elementary,Project Manager,3.0,Canada,Black,0,55000.0
38.0,Female,elementary,Operations Coordinator,9.0,Canada,Asian,1,120000.0
45.0,Male,,Data Engineer,16.0,Canada,Black,1,150000.0
33.0,Female,elementary,Marketing Manager,5.0,UK,Mixed,0,70000.0
36.0,Male,elementary,Business Analyst,8.0,China,Chinese,1,95000.0
49.0,Female,high school,Director of Marketing,21.0,China,White,0,180000.0
31.0,Male,elementary,Operations Analyst,3.0,Canada,Black,0,50000.0
,Female,elementary,Project Manager,12.0,Australia,White,1,120000.0
47.0,Male,high school,Director of Marketing,19.0,UK,White,0,170000.0
29.0,Female,elementary,Business Development Associate,1.5,Australia,White,0,35000.0
35.0,Male,elementary,Financial Manager,9.0,Australia,Asian,1,100000.0
44.0,Female,university,Product Designer,15.0,Australia,Asian,1,150000.0
33.0,Male,elementary,Business Analyst,4.0,UK,White,0,60000.0
,Female,elementary,Marketing Analyst,8.0,Canada,Black,1,85000.0
44.0,Male,elementary,Software Engineer,13.0,Australia,White,1,130000.0
34.0,Female,high school,Financial Advisor,6.0,Canada,White,1,80000.0
36.0,,,Marketing Specialist,8.0,Canada,White,1,95000.0
30.0,Female,elementary,HR Coordinator,2.0,UK,Welsh,0,40000.0
37.0,Male,elementary,Business Development Manager,10.0,China,Chinese,1,120000.0
45.0,Female,high school,Marketing Manager,16.0,Canada,Black,1,160000.0
32.0,Male,elementary,Financial Advisor,4.0,USA,Hispanic,0,65000.0
39.0,Female,elementary,Project Manager,12.0,Canada,White,1,130000.0
47.0,Male,university,Director of Engineering,20.0,China,White,0,180000.0
29.0,Female,elementary,Marketing Analyst,2.0,Australia,Australian,0,40000.0
36.0,Male,elementary,Operations Manager,9.0,UK,Asian,1,100000.0
43.0,Female,university,Data Scientist,15.0,USA,African American,1,150000.0
32.0,Male,elementary,Marketing Coordinator,3.0,Canada,White,0,55000.0
38.0,Female,elementary,Business Analyst,10.0,China,White,1,110000.0
48.0,Male,high school,Director of Marketing,21.0,China,Chinese,0,180000.0
31.0,Female,elementary,Business Development Associate,3.0,China,Korean,0,50000.0
,Male,elementary,Financial Analyst,12.0,Australia,White,1,130000.0
45.0,Female,university,UX Designer,16.0,Australia,Asian,1,160000.0
33.0,Male,elementary,Product Manager,4.0,Canada,Asian,0,60000.0
36.0,Female,elementary,Marketing Manager,8.0,China,Korean,1,95000.0
47.0,Male,high school,Director of Operations,19.0,China,Chinese,0,170000.0
29.0,Female,elementary,Project Manager,2.0,UK,Mixed,0,40000.0
34.0,Male,elementary,Operations Coordinator,7.0,UK,Asian,1,90000.0
44.0,Female,university,Business Analyst,15.0,UK,White,1,150000.0
33.0,Male,elementary,Marketing Specialist,5.0,UK,Welsh,0,70000.0
35.0,Female,elementary,Financial Manager,8.0,Australia,White,1,90000.0
43.0,Male,high school,Director of Marketing,18.0,China,Korean,0,170000.0
31.0,Female,elementary,Financial Analyst,3.0,UK,Asian,0,50000.0
41.0,Male,elementary,Product Manager,14.0,Canada,White,1,150000.0
44.0,Female,university,Data Engineer,16.0,Canada,Asian,1,160000.0
,Male,,Business Analyst,4.0,Canada,Black,0,60000.0
35.0,Female,elementary,Marketing Analyst,8.0,Canada,Asian,1,85000.0
45.0,Male,high school,Director of Engineering,19.0,China,Chinese,0,180000.0
28.0,Female,elementary,Operations Manager,1.0,Canada,Asian,0,35000.0
36.0,Male,elementary,Business Development Manager,8.0,USA,Asian,1,110000.0
44.0,Female,university,Data Scientist,16.0,China,Chinese,1,160000.0
31.0,Male,elementary,Marketing Coordinator,3.0,Canada,Black,0,55000.0
38.0,Female,elementary,Business Analyst,10.0,Canada,Black,1,110000.0
48.0,Male,high school,Director of Marketing,21.0,Canada,Asian,0,180000.0
31.0,Female,elementary,Business Development Associate,3.0,Canada,Black,0,50000.0
40.0,Male,elementary,Financial Analyst,12.0,USA,White,1,130000.0
45.0,Female,university,UX Designer,16.0,UK,Asian,1,160000.0
33.0,Male,elementary,Product Manager,4.0,Canada,White,0,60000.0
36.0,Female,elementary,Marketing Manager,8.0,UK,Welsh,1,95000.0
47.0,Male,high school,Director of Operations,19.0,UK,Welsh,0,170000.0
29.0,Female,elementary,Project Manager,2.0,Australia,Australian,0,40000.0
34.0,Male,elementary,Operations Coordinator,7.0,China,Chinese,1,90000.0
,Female,university,Business Analyst,15.0,UK,Welsh,1,150000.0
33.0,Male,elementary,Marketing Specialist,5.0,Canada,White,0,70000.0
35.0,Female,elementary,Financial Manager,8.0,China,Chinese,1,90000.0
43.0,Male,high school,Director of Marketing,18.0,Canada,Asian,0,170000.0
,Female,elementary,Financial Analyst,3.0,Canada,Black,0,50000.0
41.0,Male,elementary,Product Manager,14.0,China,Chinese,1,150000.0
44.0,Female,university,Data Engineer,16.0,Australia,White,1,160000.0
33.0,Male,elementary,Business Analyst,4.0,UK,Welsh,0,60000.0
35.0,Female,elementary,Marketing Analyst,8.0,China,White,1,85000.0
43.0,Male,high school,Director of Operations,19.0,China,White,0,170000.0
29.0,Female,elementary,Project Manager,2.0,USA,Asian,0,40000.0
34.0,Male,elementary,Operations Coordinator,7.0,China,White,1,90000.0
,Female,university,Business Analyst,15.0,UK,White,1,150000.0
31.0,Male,high school,Data Scientist,6.0,Australia,White,0,160000.0
28.0,Female,elementary,Software Engineer,3.0,Canada,Black,0,125000.0
26.0,Male,high school,Product Manager,2.0,China,White,0,120000.0
27.0,Female,elementary,Data Analyst,2.0,UK,Mixed,0,110000.0
30.0,Male,university,Data Scientist,5.0,China,Korean,0,180000.0
29.0,Female,elementary,Software Engineer,4.0,Australia,White,0,140000.0
32.0,Male,elementary,Product Manager,7.0,USA,Asian,0,170000.0
25.0,Female,,Data Analyst,1.0,China,White,0,100000.0
33.0,Male,,Data Scientist,8.0,UK,Mixed,0,190000.0
31.0,Female,elementary,Software Engineer,6.0,UK,Welsh,0,155000.0
28.0,Male,high school,Product Manager,3.0,Canada,Black,0,130000.0
30.0,Female,elementary,Data Analyst,5.0,USA,African American,0,145000.0
,Male,university,Data Scientist,2.0,USA,African American,0,115000.0
29.0,Female,elementary,Software Engineer,4.0,USA,Hispanic,0,140000.0
34.0,Male,elementary,Product Manager,9.0,China,Chinese,0,185000.0
25.0,Female,high school,Data Analyst,1.0,Australia,Australian,0,100000.0
33.0,Male,university,Data Scientist,8.0,Canada,Black,0,190000.0
31.0,Female,elementary,Software Engineer,6.0,UK,Welsh,0,155000.0
28.0,Male,high school,Product Manager,3.0,Australia,White,0,130000.0
30.0,Female,elementary,Data Analyst,5.0,Australia,White,0,145000.0
28.0,Male,elementary,Software Engineer,3.0,China,Korean,0,125000.0
